Title,Decisions,links,source,title,body
SpiceJet to issue 6.4 crore warrants to promoters,"{""SpiceJet"": ""neutral""}",https://m.economictimes.com/markets/stocks/news/spicejet-to-issue-6-4-crore-warrants-to-promoters/articleshow/30235417.cms,m.economictimes.com,SpiceJet to issue 6.4 crore warrants to promoters,"NEW DELHI: SpiceJet shareholders have approved issuance of more than 6.4 crore convertible warrants to its promoters -- Kalanithi Maran and Kal Airways.
 
 The low cost carrier would issue up to 45,000,000 warrants to Kal Airways and 19,169,000 warrants to Maran, according to a regulatory filing today.
 
 There would be the option to convert these warrants into equivalent number of shares, each with a face value of Rs 10 per piece.
 
 The proposal was approved by the shareholders through postal ballots.
 
 According to the postal ballot notice, the currency of warrants to subscribe to equity shares would be 18 months from the date of allotment of warrants.
 
 ""Provided that the allottee shall not be entitled to apply for equity shares against such warrants on or before March 31, 2014.
 
 ""In case the option to subscribe to equity shares against such warrants is not exercised by the allottee within eighteen months, the consideration paid by the allottee in respect of such Warrant shall be forfeited by the company,"" the notice had said.
 
 Kal Airways held 29.24 per cent stake in SpiceJet while the shareholding of Maran stood at 24.24 per cent at the end of 2013 December quarter.
 
 Shares of SpiceJet today closed almost flat at Rs 15.65 on the BSE.
 
 
"
Mid caps now turn into market darlings,"{""Mid caps"": ""positive""}",https://m.economictimes.com/markets/stocks/news/tide-turns-as-midcaps-become-brokerages-darling-again/articleshow/68350992.cms,m.economictimes.com,"Tide turns as midcaps become brokerages' darling, again","Mid- and small-cap shares are back on brokerages’ radar after remaining out of favour for over a year. A key reason behind it is that the current government's chances to come back to power after elections have improved following India’s military standoff with Pakistan. That is why the broader market has seen buying. As a result, midcaps have rebounded strongly. 

The BSE MidCap and SmallCap indices have gained 4.4 per cent and 7.5 per cent, respectively, in the past two weeks, compared to the Sensex which is up 2.2 per cent during the same period. In 2018, BSE MidCap and SmallCap indices had fallen 13.4 per cent and 23.7 per cent, respectively. Also, there were macro headwinds and concerns about corporate governance and liquidity issues and there was lack of pick-up in earnings growth. Analysts believe the tide seems to be turning in favour of the broader market again. 

“Typically, the spread between large-cap and mid-cap returns has peaked out at 15-20 per cent. Post hitting this peak range, the performance has reversed in the past. Currently, this spread stands at 18 per cent,” said Motilal Oswal in a note. ET takes a look at midcap picks of top brokerages and their outlook going forward.


CLSA



SADBHAV ENGINEERING
CMP: Rs 223.35
Change in last one year : -41.8 per cent

Despite the recent 44 per cent rally since its low, Sadbhav Engineering’s stock trades at 7 times FY20 adjusted earnings and its valuation appears attractive, said foreign brokerage CLSA. The brokerage has added the midcap stock to its portfolio.


SOBHA
CMP: Rs 438.7
Change in last one year : -20 per cent

Sobha is another midcap in CLSA’s model portfolio. The foreign brokerage said the launch of Sobha’s second affordable project should help drive sales in the near term. “Sobha’s timely new launches amidst tough liquidity conditions for developers should help it gain market share significantly. ” said CLSA in a recent report, while retaining buy rating with a target price of Rs 628.


GODREJ PROPERTIES
CMP: Rs 699.55
Change in last one year : -6.7 per cent

Godrej Properties delivered good operating performance in the third quarter and this performance comes amidst tight liquidity for the sector, demonstrating Godrej’s strength and ability to gain from the ongoing sector consolidation, said CLSA. Access to cheap liquidity, a good delivery trackrecord and its timely expansion make Godrej well poised to gain market share, said CLSA.


MOTILAL OSWAL


INDRAPRASTHA GAS
CMP: Rs 293.35
Change in last one year : -5.5 per cent

Indraprastha Gas is one of Motilal Oswal’s preferred midcap ideas. The brokerage said in a recent report that Indraprastha Gas’ consistent operational outperformance, the government’s thrust on gas usage, and sustainable high-growth market warrant premium valuations. The recent Supreme Court ruling for Indraprastha to take over the assets of Haryana City Gas Distribution is another positive from the short- to medium-term volume growth perspective, said Motilal Oswal.


FEDERAL BANK
CMP: Rs 87.65
Change in last one year : -5.8 per cent

Federal Bank has maintained strong business momentum and it is reporting a gradual improvement in operating earnings. Strong capitalization levels and a robust liability franchise will enable market share gains in both corporate and retail segments, said Motilal Oswal in a recent report, maintaining a buy rating on the stock with a target price of Rs 115.


SUN TV NETWORK
CMP: Rs 596.35
Change in last one year : -33.4 per cent

Motilal Oswal expects 12 per cent compounded growth in advertisement revenue over FY19 -FY21 on the back of new launches and increasing share of commission model-based shows. This, coupled with a foray in the Bangla genre, augurs well for the company, said Motilal Oswal in a recent report on Sun TV. Burgeoning IPL revenue is also expected to provide a fillip to overall revenue, it added.


CITIGROUP
SRF
CMP: Rs 2,351.85
Change in last one year : 27.3 per cent

SRF is among Citi’s top midcap ideas. SRF’s unique fluorine chemistry skills, history of innovation and operational management track-record, along with its proven ability to extract profits from even commoditized businesses, provide a long growth runway, said Citi.


SHRIRAM TRANSPORT FINANCE CO.
CMP: Rs 1,220.30
Change in last one year : -8.1 per cent

Shriram Transport’s niche focus on used vehicle segment and diversified borrowing profile positions it better to navigate through the liquidity challenges and tide over the cyclical nature of vehicle industry, said Citi. Whole the gross nonperforming asset ratio remains elevated at around 9 per cent, higher provision coverage ratio alleviates any major asset quality concern, it added. The stock trades at 1.7 times adjusted price-to-book on March 2020 estimates versus long term average of 2.1 times, said Citi.


EMAMI
CMP: Rs 383.1
Change in last one year : -29.3 per cent

Emami has underperformed the sector given its weak performance in multiple quarters. However, revenue trends are improving and three of its four segments are recovering as well, said Citigroup Global Markets. Valuations at 29 times FY20 adjusted EPS is well below sector peers and group leverage has reduced after promoters divested 10 per cent stake in the company, added Citi.
 
 
 
 

"
"Market seeing patience, if not conviction: Prakash Diwan","{""Market"": ""neutral""}",https://economictimes.indiatimes.com/topic/prakash-diwan-director,economictimes.indiatimes.com,HOLAXD,HOLAXD
Infosys: Will the strong volume growth sustain?,"{""Infosys"": ""neutral""}",https://m.economictimes.com/markets/stocks/news/infosys-will-the-strong-volume-growth-sustain/articleshow/21033072.cms,m.economictimes.com,Infosys: Will the strong volume growth sustain?,"MUMBAI: A stronger business volume growth and sustained momentum in new client accounts are brighter spots in the performance of Infosys in the first quarter of FY14. However, the management's stance to keep dollar denominated revenue guidance unchanged at 6-10% growth for the fiscal reflects that caution is still the buzzword. 

 Infosys, the second largest among the IT exporters that are listed on Indian bourses, reported 7.8% sequential growth in revenue at Rs 11,267 crore for the June 2013 quarter, surpassing the analysts' average estimate of 5.5% growth. The ET Intelligence Group (ETIG) had predicted 6.7% sequential increase in revenue. 

 Operating profit or earnings before interest and tax (EBIT) however lagged the ETIG's estimation of Rs 2,778.4 crore. The company reported Rs 2,664 crore in EBIT, a sequential growth of 8.2%. 

 The company was able to retain the operating margin calculated as the proportion of EBIT in the revenue at 23.6% compared with the previous quarter. For the September 2013 quarter, however, its CFO Rajiv Bansal has cited a negative impact of around 300 basis points on profitability due to the salary hikes of average 8% initiated at the beginning of July. 

 The stock market has reacted positively to the results. At Rs 2,810, the stock has gained over 11% in the morning session on Friday. The big jump can be attributed to a sharp increase in the rupee denominated revenue guidance by the company to 13-17% for the fiscal from the earlier forecast of 6-10% growth. 

 The company has been finding it difficult to report meaningful growth since the past few years. Against the backdrop, what could offer some relief to investors is the fact that it reported a strong 4.1% volume growth for the quarter, which is the largest since the September 2011 quarter when it had reported 4.5% jump. In addition, it continued to show momentum in new clients. It added 66 clients during the June 2013 quarter. 

 But, any major increase in the stock valuation from the current levels looks limited. This is because the company still faces pressure on its growth and margin, which is reflected from its stance of not revising the dollar denominated revenue guidance of 6-10% growth for the fiscal. 

 Also, it will be challenging to retain the strong volume growth amidst clouded outlook for IT demand. The management has iterated about the slowing offtake in the high-end, high-margin, discretionary projects. A rerating of the stock would require the company to show a sustained growth scenario in the coming quarters. 
"
Hudco raises Rs 279 cr via tax-free bonds,"{""Hudco"": ""positive""}",https://economictimes.indiatimes.com/markets/bonds/hudco-raises-rs-279-cr-via-tax-free-bonds/articleshow/32168286.cms,economictimes.indiatimes.com,Hudco raises Rs 279 cr via tax-free bonds,"NEW DELHI: State-owned Housing and Urban Development Corporation (Hudco) said it has raised Rs 279 crore through the third tranche of tax-free bonds. The finance ministry had allowed HUDCO to raise Rs 5,000 crore through bonds in the current financial year. Hudco had raised Rs 4,714 crore from the first two tranches of tax-free bonds and private placements. To raise the balance amount of Rs 286 crore, the company launched the third tranche of tax-free bonds on February 28. “We have raised Rs 279 crore from the third tranche. We preclosed the issue because of higher participation from retail individuals,” said a senior HUDCO official. The issue was to close on March 19. The official said that the company has raised a total of Rs 4,993 crore through bonds out of Rs 5,000 crore allowed. The basic size of the issue was Rs 75 crore, with an option to retain over-subscription up to Rs 285.8 crore. In August, Hudco has raised Rs 190.8 crore. 
"
HOEC could retest 30-35 levels: Ashwani Gujral,"{""HOEC"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/hoec-could-retest-30-35-levels-ashwani-gujral/articleshow/8244166.cms,m.economictimes.com,HOEC could retest 30-35 levels: Ashwani Gujral,"
  Ashwani Gujral, Chief Market Strategist, ashwanigujral.com in an interview with ET Now talks about HOEC.
   
  
  What is the call on HOEC and GMDC?
   
  Since commodities have started coming back, crude has started coming back, these crude plays again get set up for 5% to 8% type of move. So HOEC after correction back towards 188, chances are it could retest to 30-35, crude keeps moving higher. Stock of the day is UB, that has broken out to fresh highs. So that could get to levels of 750.
 "
Genpact appoints Edward J Fitzpatrick as CFO,"{""Genpact"": ""neutral""}",https://m.economictimes.com/genpact-appoints-edward-j-fitzpatrick-as-cfo/articleshow/37333113.cms,m.economictimes.com,Genpact appoints Edward J Fitzpatrick as CFO,"NEW DELHI: BPO major Genpact today said it has appointed Edward J Fitzpatrick as its chief financial officer with effect from July 15, 2014. He will report directly to Genpact President and CEO NV Tyagarajan and will be based in New York City. Fitzpatrick most recently served as the CFO of Motorola Solutions Inc. 

 He succeeds Mohit Bhatia, who will remain with Genpact in the position of Senior Vice President (Internal Transformation) reporting to the CEO and will assist Fitzpatrick in the transition. 

 ""We are thrilled to welcome Ed to Genpact. His deep experience in the finance function and his background in a large global corporation will be a strong complement to our leadership team,"" Tyagarajan said. 

 Fitzpatrick joined Motorola in 2000 and served as chief financial officer from February 2009 to August 2013. Prior to Motorola's acquisition of General Instrument Corporation, Fitzpatrick was part of the finance team at General Instrument. 

 He began his career at Price Waterhouse. He holds a master's degree in business administration from Wharton School of Business and holds a bachelor's degree in accounting from Pennsylvania State University. 
"
"EXL beats profit estimates, cuts sales outlook","{""EXL"": ""positive""}",https://m.economictimes.com/markets/stocks/earnings/exl-beats-profit-estimates-cuts-sales-outlook/articleshow/15309179.cms,m.economictimes.com,"EXL beats profit estimates, cuts sales outlook","NEW DELHI: Noida-based BPO Exl Service Holdings, Inc, on Tuesday reported a 27% rise in its second quarter revenues to $108 million, backed by increased earnings from its analytics and insurance business.
 
 Nasdaq listed EXL however reduced its yearly sales guidance due to rupee depreciation. EXL Service now expects revenues of $438 million to $442 million in 2012, $3 million less than its earlier outlook.
 
 “About 25% of our revenues are either denominated in Indian Rupees or have a pricing linked to devaluation of the Indian currency, which has led to the reduction in revenue outlook,” said Rohit Kapoor, EXL Service CEO and Vice Chairman.
 
 Profits for the firm in Q2 beat estimates. EXL’s net profit grew to $9.1 million in Q2 compared to $8.5 million in the same period last year. Nasdaq listed EXL Service shares were up 2.3% in opening trade to $25 a piece due to the buoyant results.
 
 The company attributed growth to the strong demand for decision analytics services, particularly in the insurance and banking verticals.
 
 The company counts American Express and British Gas as its large customers. The BPO won nine new clients during the quarter.Kapoor said that he sees better business coming in next few quarters as the currency devaluation makes it cheaper for clients to outsource.
 
 During the quarter, EXL’s margins expanded year-over-year and sequentially, driven by foreign exchange as well as growth in its transformation business. The margin expansion more than offset the headwinds from wage increases implemented during the quarter.
 
 EXL’s operating profit margins grew to 13.3% compared to 11.1% for the same quarter in 2011. 
"
Wait and watch on Bharti Airtel: Vinay Khattar,"{""Bharti Airtel"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/wait-and-watch-on-bharti-airtel-vinay-khattar/articleshow/32833013.cms,m.economictimes.com,Wait and watch on Bharti Airtel: Vinay Khattar,"In a chat with ET Now, Vinay Khattar, Edelweiss Financial Services, shares his views on Bharti Airtel.
 
 
ET Now: On Bharti you have seen this risk on risk off trade in Bharti. Bulls are of the view that pricing power is coming back for telecom companies so Bharti is a buy but the bears are insisting that there is no pricing power, balance sheet has got diluted and Africa is still is in a mess?
 
 
Vinay Khattar: Precisely for the same reason, my personal view is not very strong on either side. We were pretty early movers in terms of pricing power getting diluted quite a few years ago and we believe that the stocks would be in pain. Over the last one or two years you have seen certain degree of consolidation happening and beginning to happen and you are seeing certain elements of pricing power especially on the domestic side coming back. But is it early days on that my personal sense is yes you were want to wait a while and see how the trend actually plays out in terms of pricing power and we must not forget that the electronic space, the entire segment of more computerisation, more electronic space is pretty commoditise at this particular point in time and with new players like Reliance Geo entering the space you do not know how the even the data part is going to play out going forward. As far as Africa is concerned that remains a very big question mark. Lot of us who have been bullish on the Africa story at an earlier point in time have really not got it right and that remains a question mark. So my suggestion would be to wait and watch rather than bet very aggressively on a stock like this. 
"
"Would stick to banking: Girish Pai, Centrum Broking","{""banking"": ""positive"", ""Centrum Broking"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/would-stick-to-banking-girish-pai-centrum-broking/articleshow/6791379.cms,m.economictimes.com,"Would stick to banking: Girish Pai, Centrum Broking","
  Girish Pai, Head Of Research, Centrum Broking, in a chat with ET now talks about the banking space. 
  
  
  What is your thought on the entire banking pack and more importantly the midcap PSU lot? Do you think the valuations justify the stock price movement?
   
  The banking sector run up has been fairly fast over the last 3-4 months and from that perspective, I am not so comfortable with the banking sector. Bbut since I am more bearish on the global cyclicals and since at this point in time and I am more positively inclined towards the domestic plays, I would still stick to the banks at this point as a neutral weight in my portfolio. 
  
  Within that space, I would say a large part of my weightage would go to the large banks because right now I am cautious on the market. I would want to stay in liquid large cap names but since you mentioned midcap banks, I would want to look at two spaces within the midcap banking area. One are those banks which required capitalisation from the government and some of them have got it - IDBI Bank. There are others who may probably be getting into the next few months or quarters. I think these are plays which could see some serious price to book multiple expansion. That is one area to look at. The other is the oil private sector banks which could be place on domestic consolidation. 
  
  So these are two areas which are long term - 1-2 years plays rather than next quarter plays. That is the way I would look at it.
  
 "
Ashok Leyland raises Rs 667 crore through QIP,"{""Ashok Leyland"": ""positive""}",https://m.economictimes.com/ashok-leyland-raises-rs-667-crore-through-qip/articleshow/38078400.cms,m.economictimes.com,Ashok Leyland raises Rs 667 crore through QIP,"NEW DELHI: Hinduja Group flagship company Ashok Leyland has raised Rs 667 crore via qualified institutional placement (QIP), a move that would help the company improve its financial position. 

 The capital raising comes on the back of a strong operating margin performance in Q4 - reflecting cost reduction and margin improvement measures, as well as the expectation of a turnaround in the domestic commercial vehicle market, Ashok Leyland said in a statement. 

 The QIP, launched on June 26, attracted a very favourable response from institutional investors across geographies, it added. 

 ""The issue was subscribed by foreign institutional investors, mutual funds and qualified institutional buyers (QIB) amongst others. The issuance will help improve the debt and the financial position of Ashok Leyland,"" Ashok Leyland Chief Financial Officer Gopal Mahadevan said. 

 The Chennai-based firm allotted 1,852 lakh shares to eligible qualified institutional buyers at an issue price of Rs 36 per share (face value of Re 1 and a premium of Rs 35 per equity share), a premium of 5 per cent to the SEBI floor price, aggregating around Rs 667 crore. 

 Ashok Leyland shares were trading at Rs 33.05 apiece on the BSE, down 6.11 per cent from its previous close. 
"
"At Wipro, growth remains a mirage","{""Wipro"": ""negative""}",https://m.economictimes.com/markets/stocks/earnings/at-wipro-growth-remains-a-mirage/articleshow/19629040.cms,m.economictimes.com,"At Wipro, growth remains a mirage","BANGALORE: Wipro, the last among India’s large information technology services companies to report March quarter earnings, posted the weakest sales-growth among peers, and gave a poor near-term outlook that could see its sales shrinking marginally in the June quarter.

The company’s management blamed the stagnating sales on discretionary spend not returning and lower exposure in the banking and financial services industry compared with peers.

“In the first month of the quarter, we expected discretionary spend to start coming in, but that did not happen till the end,” said TK Kurien chief executive officer. “That resulted in a large part of our miss in the banking and financial services vertical.”

Kurien added that unfavourable cross-currency movements also hurt sales numbers during the quarter. Wipro’s performance dashed investor hopes of a return to growth for the company, which has been lagging the industry for over a year now. In the just-completed financial year, the company saw sales expanding 5% as against industry growth pace of a little over 10%.

In the March quarter, sales reported in dollars grew 0.5% sequentially, compared with 1.4% for Infosys and a little over 3% for HCL Technologies and Tata Consultancy Services. This was the second worst quarter for the company in the just-concluded financial year, the other being first quarter when revenues fell 1.4%.

Ever since chief executive officer TK Kurien took over in early 2011 after the co-CEO model was dismantled, it has been a story of waiting for investors. The latest financial performance not only fails to give proof of growth taking firm roots, but also signals that it may take much longer for the company to start matching its peers.

“The management has made several changes to the structure to align it more with the demand generation process and increasing efficiency,” said Dipen Shah of Kotak Securities. “We believe that, these initiatives have not yet started showing the expected results and will start reflecting in the financials in due course of time.”

	 


Kurien’s previous commentary over the quarters about putting together a crack team of “hunters” to get multi-hundred million-dollar technology contracts remains a work-in-progress as sales numbers do not seem to show proof of the efforts bearing fruit yet. Client additions, however, continued at reasonable pace with 52 new clients being added in the latest quarter.

While it may not negate the emerging consensus on demand revival in the industry, Wipro’s outlook, taken together with that of Infosys, does question the pace of recovery.

Combined with IBM missing estimates yesterday, Wipro’s dismal outlook does put a question mark on overall technology spending and the nature of technology spending in the current financial year.

The robust numbers coming from HCL Technologies and TCS, and the poor performance from Infosys and Wipro also raises the question about capabilities that different companies have to capture the nature of emerging demand, where newer technology areas such as cloud, mobility and analytics are gaining prominence.

The silver lining in the company’s performance during the March quarter was the jump in consulting revenues, which may signal early-stage projects, where revenue could start kicking in within one to two quarters. But the fall in revenue from Europe is worrisome, especially after the company won one large deal there recently.






"
Makemytrip expands share sale plan,"{""Makemytrip"": ""neutral""}",https://m.economictimes.com/markets/stocks/news/makemytrip-expands-share-sale-plan/articleshow/32083914.cms,m.economictimes.com,Makemytrip expands share sale plan,"BANGALORE: Nasdaq-listed Makemytrip has expanded its share sale plan to 5.5 million shares in a follow- on offering which will see the company mobilise $126.5 million. India's largest online travel agency had earlier proposed to sell 4.5 million shares, which also includes stake sales by its existing shareholders. 

 The offering will see the company raise $65.9 million, after deducting the issue related expenses. The remaining amount will go to shareholders including management and the company's venture capital investors SAIF Partners and Sierra Ventures, who will sell a portion of their holding. 

 Makemytrip said in an SEC filing that it plans to sell the shares for $23 per unit and close the issue by March 19. The company's shares closed at $23.59, up by 0.38% on Friday, 14 March. 

 The Economic Times in its March 12 edition had reported Makemytrip's plan to sell shares. (
Report) 

 In addition to the venture capital investors, the company's chief executive officer Deep Kalra, chief commercial officer Keyur Joshi and head of Indian operations Rajesh Magow are also selling a portion of their holding. Subsequently, the shareholding of the management is expected to come down from the present level of 12.34% to 10.27%. 

 SAIF Partners is looking to sell 1 million shares and also has the option to sell an additional 825,000 shares. The firm which is the largest shareholder in Makemytrip, will see its holding reduce to 26.2%. Sierra Venture's stake will come down from 3.99% to 1.23% after the offering. 

 Other major shareholders like Tiger Global, T Rowe Price and Wasatch Advisors are not selling any shares in this offering. 

 Citigroup, JP Morgan and Deutsche Bank Securities are acting as joint book running managers to the offering. 

 Makemytrip said that it will use the funds to acquire strategic businesses and invest in its technology. The company has made a string of relatively small sized acquisitions. In February, Makemytrip acquired Amsterdam-based Easytobook, which provides online hotel bookings in Europe and North America, for $5 million. In 2012, it acquired two Thailand-based companies, including the Hotel Travel Group for $25 million and in 2011, it bought Singapore-based Luxury Tours & Travels besides picking up minority stakes in two India-based startups MyGuestHouse Accommodations and Ixigo. 

 For the nine-month period ending December 2013, MakeMyTrip reported a 12% increase in total revenues to $194.5 million with net loss widening to $18 million from the year-ago period. 
"
Gur closes quiet on some support,"{""Gur"": ""neutral""}",https://m.economictimes.com/markets/commodities/gur-closes-quiet-on-some-support/articleshow/35210937.cms,m.economictimes.com,Gur closes quiet on some support,"NEW DELHI: The wholesale gur (Jaggery) market settled on its previous closing levels in the national capital on Friday on paucity of stocks amid some buying. Muzaffarnagar and Muradnagar gur markets, however, ended flat in thin trade. 

 Marketmen said negligible arrivals due to rising mercury against dull demand, mainly keep prices unchanged. Following are Friday's rates per quintal: Gur chakku 3,300-3,400, pedi 3,300-3,400, dhayya 3,500-3,600 and shakkar 3,600-3,700. 

 Muzaffarnagar: Rasket 2,600-2,650, chakku 2,750-3,100, khurpa 2,900-2,950 and Ladoo 3,000-3,125. 

 Muradnagar: Pedi 2,950-3,000 and dhayya 3,050-3,100. 

 

 
"
Gur closes steady on low demand,"{""Gur"": ""neutral""}",https://m.economictimes.com/markets/commodities/gur-closes-steady-on-low-demand/articleshow/49299828.cms,m.economictimes.com,Gur closes steady on low demand,"NEW DELHI: Quiet conditions prevailed at the wholesale gur (Jaggery) market in the national capital today in restricted activity on scattered demand.
 
 
Muzaffarnagar and Muradnagar gur markets also displayed a steady trend.
 
 
Marketmen said negligible arrivals against scattered demand mainly kept gur prices at last levels.
 
 
Following are today's rates (in Rs per quintal):
 
 
Gur chakku Rs 2,900-3,000, pedi Rs 3,100-3,200, dhayya Rs 3,300-3,400 and shakkar Rs 3,200-3,300.
 
 
Muzaffarnagar: Rasket Rs 2,800-2,850, chakku Rs 2,600-2,750, khurpa Rs N.T. and Ladoo Rs NT.
 
 
Muradnagar: Pedi Rs 2,800-2,850 and dhayya Rs 2,900. 
"
